track_id,artist,album,track,album_track_seq,track_release_date
4ReyTz0y3TGkX48wO3Llot,Faith No More,The Real Thing,Epic,2,1989
0DfG1ltJnZyq4Tx3ZLL7ZU,Falco,Falco III,Rock Me Amadeus - The Gold Mix,1,1985-02-19
4OsLDuaH0bWR6xM6nj66F8,The Fall of Troy,Doppelganger,F.C.P.R.E.M.I.X.,3,2005
7Feaw9WAEREY0DUOSXJLOM,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),1,2019-04-25
7IsEXPk6qqt30FfQv4SZMa,Fastball,All The Pain Money Can Buy,The Way,1,1998-01-01
21RDsw7wzUJNl2FbWTgEfJ,Fatboy Slim,The Greatest Hits: Why Try Harder,Praise You - Radio Edit,2,2006-01-01
06PdA0DLgF4BfAeUNZAbFG,Fats Domino,Fats Domino Swings,Blueberry Hill,3,1959-01-01
3Q4WeJmzxuDpzMu9QjQqbM,Fergie,The Dutchess,Big Girls Don't Cry (Personal),10,2006-01-01
4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),2,2016-05-27
2O2mr2gzBRtKGRiswqRyiN,Filter,Title Of Record,Take a Picture,6,1999-08-24
